key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g748||FOXD3	FOXD3	g748	-0.130245591207488	0.388279768807326	-0.0715374740715824	0.784977030557061	-0.168510442533441	0.382220273314309	-0.22412038618075	0.134303044290419	-0.100551827605892	0.700991426505913	-0.229556650246305	0.229972340665644	0	0	0	0	0	0
g1||CSDA	CSDA	g1	-0.104195070326744	0.490750086835834	0.0217738831350677	0.933893726785476	-0.190152150864756	0.323147452019027	-0.110703382827311	0.463912594931439	0.0748007498043834	0.775399567277724	-0.255172413793103	0.18097743571357	0	0	0	0	0	0
g108||CSDA	CSDA	g108	0.00880168041648346	0.953705525504758	0.0991781941125811	0.704902796955703	0.00476778111507988	0.980417109652958	-0.0940516205078823	0.534129548216098	-0.282035614016528	0.272753250434888	-0.0413793103448276	0.831112186720911	0	0	0	0	0	0
g113||CSDA	CSDA	g113	-0.295361000603333	0.0462820323802344	0.329561941882556	0.196437136045362	-0.402836062315234	0.0302604971065199	-0.106077893294136	0.482904343330658	0.248927085414587	0.335317658968917	-0.297536945812808	0.117041315633161	0	0	0	0	0	0
g115||CSDA	CSDA	g115	0.0486301558774292	0.748256816848559	-0.327153523179847	0.199923961561521	0.0576397020671066	0.76647215493474	0.00925097906634908	0.951345096750592	-0.160637675809414	0.537961945227466	-0.0133004926108374	0.946050474396856	0	0	0	0	0	0
g117||CSDA	CSDA	g117	0.0168696406750584	0.911398653476152	0.391980772692575	0.119680641866626	0.0154183233403112	0.936728412976698	0.112306885865478	0.457423828474419	0.40220731042357	0.109492353025194	0.0591133004926108	0.760117965678548	0	0	0	0	0	0
g124||CSDA	CSDA	g124	-0.161233693792357	0.284408560400104	-0.512781780734577	0.0353055981376358	-0.22577056323911	0.238951309913368	-0.196694011352984	0.190137778949708	-0.348894612172986	0.169892500529962	-0.28423645320197	0.134945059694259	0	0	0	0	0	0
g138||CSDA	CSDA	g138	-0.12916406769222	0.39226540310793	-0.133933781610955	0.608315500007937	-0.186158043224031	0.333603023183932	-0.185944679233617	0.215992394119206	-0.179031302810492	0.491751071178687	-0.219704433497537	0.251020159097413	0	0	0	0	0	0
g141||CSDA	CSDA	g141	0.0415105838810142	0.784154997343559	-0.215095750789573	0.407058613141626	0.0546672677626186	0.778209377120823	0.0213389250463785	0.888059085124767	-0.116492971006827	0.656139965197984	0.0137931034482759	0.944017792195622	0	0	0	0	0	0
g152||CSDA	CSDA	g152	-0.0239607410192609	0.874409604579171	-0.353503807397339	0.163938883417225	-0.0328588472340292	0.865629778473491	-0.167504394294694	0.265842187286427	-0.17780506101042	0.49477105988424	-0.12807881773399	0.506298875745992	0	0	0	0	0	0
g155||CSDA	CSDA	g155	-0.124674570831469	0.409064370387791	0.261221825180515	0.311188147524512	-0.178073335146429	0.355388031966632	-0.0511270776400226	0.73578638407845	0.367872540021558	0.14628781415976	-0.226600985221675	0.236156206994159	0	0	0	0	0	0
g156||CSDA	CSDA	g156	-0.291780385404995	0.0491214065937384	-0.0657721271939538	0.801968602833055	-0.400606919459164	0.0312751392200392	-0.282093188329871	0.0575157838317876	-0.187614995410995	0.470862232085169	-0.447783251231527	0.0156687120977196	0	0	0	0	0	0
g167||CSDA	CSDA	g167	-0.124972945469206	0.40793524826872	-0.292477543082514	0.254622222960041	-0.174781806679965	0.364494193035137	-0.115452218748037	0.444839999202709	-0.467198125827379	0.058645707346176	-0.10935960591133	0.57083543983143	0	0	0	0	0	0
g170||CSDA	CSDA	g170	-0.114624867075454	0.448131453941142	0.260368636507145	0.312828580127396	-0.159127017473587	0.409653080820182	-0.14283511678443	0.343658292279298	0.133660356207833	0.609054422681101	-0.284729064039409	0.13424781560518	0	0	0	0	0	0
g171||CSDA	CSDA	g171	0.0452067797805009	0.765457540740166	0.209310404322465	0.420090610744472	0.0585020319399703	0.763076394356476	0.0253476826417965	0.867203333820127	0.132434114407761	0.612372687512606	0.029064039408867	0.881240496486336	0	0	0	0	0	0
g173||CSDA	CSDA	g173	-0.123222988745241	0.414583065709926	0.062560268192127	0.811471590132154	-0.175108473645173	0.363584359331116	-0.141482669298137	0.348294043821289	-0.0564417177914111	0.829642678637074	-0.145812807881773	0.448751753299063	0	0	0	0	0	0
g177||CSDA	CSDA	g177	-0.0560029013280771	0.711630347987874	0.0121765161084448	0.96300557113228	-0.0779513240270334	0.687736823108411	-0.0630916772325007	0.677009248201381	-0.321275351618827	0.20860326104616	-0.0778325123152709	0.687237909314118	0	0	0	0	0	0
g182||CSDA	CSDA	g182	-0.0166499022799964	0.912548243043275	-0.398184005873827	0.113424500748295	-0.0312423216332722	0.872185245290877	-0.0408276542794873	0.787623194317533	-0.214592315012575	0.408183979226479	0.0561576354679803	0.771833354801715	0	0	0	0	0	0
