key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g183||BACH1	BACH1	g183	0.11216309481427	0.458003680269476	-0.216722851262228	0.403432799400118	0.154122831159603	0.424722501331242	0.103176071538699	0.493792783887716	-0.269607843137255	0.294209853807425	0.157635467980296	0.412460912532078	0	0	0	0	0	0
g184||BACH1	BACH1	g184	-0.13212048372129	0.381427107381211	0.167444852557001	0.520635561726958	-0.147971045357593	0.443659171782822	-0.179155103299414	0.232731931309905	-0.0637254901960784	0.809389056534401	-0.244827586206897	0.199782419355505	0	0	0	0	0	0
g185||BACH1	BACH1	g185	-0.0832409740711318	0.582328604930243	0.0721587159703976	0.78315143995803	-0.0958035025498982	0.621049451574903	0.0429848905334567	0.776119508057545	0.107843137254902	0.680314781106394	0.0152709359605911	0.937921893511984	0	0	0	0	0	0
g186||BACH1	BACH1	g186	0.181027176943972	0.228599439121313	0.352194705145145	0.165615304890008	0.222156143885386	0.246754542546001	0.300030835646007	0.0431957499379411	0.455882352941177	0.0677143311960762	0.275369458128079	0.147957507852905	0	0	0	0	0	0
g187||BACH1	BACH1	g187	-0.04155553420735	0.783926865441881	-0.230606216553402	0.373208645620432	-0.0425973345118948	0.826336449425111	0.00339192106074622	0.982402952680729	-0.100490196078431	0.701339321483756	0.0650246305418719	0.736847190146695	0	0	0	0	0	0
g189||BACH1	BACH1	g189	-0.063717295157012	0.673983939118789	0.0492433876294731	0.851124898132322	-0.0798524063371302	0.680514129147268	-0.0329941412272587	0.827306786847565	-0.0122549019607843	0.966069395165699	-0.110344827586207	0.567347400975259	0	0	0	0	0	0
g19||BACH1	BACH1	g19	0.0990692777947796	0.512439865664772	0.368211036238315	0.145888396890708	0.125520463116412	0.51647478413001	0.211840888066605	0.15717590237351	0.495098039215686	0.0453630429625201	0.158620689655172	0.409513998813935	0	0	0	0	0	0
g190||BACH1	BACH1	g190	-0.0764671536977898	0.613493379250159	0.116993411901629	0.654748835822952	-0.091320303876687	0.637548212204981	0.0394079555966697	0.79434931933553	0.156862745098039	0.546591209730735	-0.0389162561576355	0.84109178461707	0	0	0	0	0	0
g191||BACH1	BACH1	g191	-0.100796344807495	0.505078308485639	-0.313320466115015	0.220732668287272	-0.12086838758315	0.532258889688825	-0.0708603145235893	0.638826422721878	-0.338235294117647	0.184210637574276	-0.0650246305418719	0.736847190146696	0	0	0	0	0	0
g192||BACH1	BACH1	g192	-0.0797247683372707	0.598416950308807	0.536224846174845	0.0264925533051436	-0.0895027808386323	0.644286081436018	-0.0247926238978155	0.870086062688865	0.478234302028025	0.0521636339119715	-0.0704433497536946	0.715716494214347	0	0	0	0	0	0
g193||BACH1	BACH1	g193	-0.167051879946828	0.267154363301673	0.315735738848344	0.217003120118393	-0.211257978657826	0.271292619119574	-0.0781399365137619	0.605731395591022	0.41569597022436	0.097013982184504	-0.12512315270936	0.516238403980683	0	0	0	0	0	0
g194||BACH1	BACH1	g194	-0.0977516048164187	0.518092487166147	0.328554138562949	0.197891310487576	-0.116062604490674	0.5488025835625	-0.105766265803269	0.482960323645838	0.274509803921569	0.28523485458125	-0.0433497536945813	0.823147192745839	0	0	0	0	0	0
g195||BACH1	BACH1	g195	-0.0411203228639667	0.786136400913899	0.287601375622383	0.262993145003298	-0.0523035169149357	0.787577421351119	-0.0263336416897934	0.861847706838398	0.269607843137255	0.294209853807425	-0.134975369458128	0.483487774149443	0	0	0	0	0	0
g196||BACH1	BACH1	g196	-0.0549669105307396	0.716740498991109	-0.17444740089028	0.503085494442893	-0.0566446507159383	0.770395818924862	-0.157693493678693	0.294226300728664	-0.186274509803922	0.472681904168265	-0.150246305418719	0.434943488983253	0	0	0	0	0	0
g197||BACH1	BACH1	g197	-0.0454499591574116	0.764231887648688	-0.191269840774446	0.462103378202295	-0.0438690257544627	0.821233440705695	-0.0453283996299722	0.764240014809484	-0.149509803921569	0.565859528235045	0.0886699507389162	0.646237280048976	0	0	0	0	0	0
g198||BACH1	BACH1	g198	-0.266151757287961	0.0737997736940256	0.102442144431798	0.695620426347035	-0.32293661666684	0.0875074430122555	-0.128831329016343	0.3922738691031	0.252450980392157	0.326982812517477	-0.211330049261084	0.269893177964794	0	0	0	0	0	0
g199||BACH1	BACH1	g199	-0.00950295087051462	0.950021520465165	0.0245424853250091	0.925508839894675	-0.00110802876725818	0.995448543142351	0.0443416589577552	0.76923549315148	-0.0318627450980392	0.905925223934364	0.109852216748768	0.569090196785753	0	0	0	0	0	0
g2||BACH1	BACH1	g2	-0.256853409644357	0.084858903262864	-0.258404804506778	0.316623790407864	-0.248765041610389	0.193161722023319	-0.170767807585569	0.255611640743379	-0.284313725490196	0.26780426874511	-0.115270935960591	0.550055722523747	0	0	0	0	0	0
g20||BACH1	BACH1	g20	-0.0388737941053929	0.797567963155079	-0.284195399037074	0.268939867942987	-0.0380127306371001	0.844789502300043	0.0570459451125501	0.705700087075317	-0.218137254901961	0.398796167437171	0.0571428571428571	0.767922537264906	0	0	0	0	0	0
g200||BACH1	BACH1	g200	-0.201538838270605	0.179235057664568	0.0915862361431614	0.726644548228285	-0.245378486820661	0.199492037255984	-0.0946654332408264	0.530258011644352	0.169117647058824	0.515164256863485	-0.23448275862069	0.219912792934666	0	0	0	0	0	0
g201||BACH1	BACH1	g201	-0.168703903780797	0.262384673494453	0.114565857943718	0.66150692026081	-0.205741137208856	0.284294718800523	-0.229972247918594	0.124011765816128	0.122549019607843	0.63896306439944	-0.254187192118227	0.182712113503992	0	0	0	0	0	0
g202||BACH1	BACH1	g202	0.0880320615146747	0.560726782709639	-0.476526796413923	0.0531297372194998	0.119479093281424	0.537016886280469	0.0247301880974406	0.870204280051434	-0.450980392156863	0.0710063650378474	0.117733990147783	0.541504295939424	0	0	0	0	0	0
g203||BACH1	BACH1	g203	-0.0378360424902284	0.802862952583445	-0.198717000975943	0.444511672541998	-0.0414006722512206	0.83114471441539	-0.0210299105766266	0.889541183115865	-0.213235294117647	0.409722688926365	-0.0551724137931034	0.775749739734138	0	0	0	0	0	0
g204||BACH1	BACH1	g204	-0.113514865011309	0.452568278908214	-0.222610080997817	0.390459549671402	-0.141836253794652	0.462987421290843	-0.1263644773358	0.401462399466369	-0.237745098039216	0.356747172699823	-0.169458128078818	0.377898318784532	0	0	0	0	0	0
g21||BACH1	BACH1	g21	0.101946777453986	0.500204662426788	-0.21931531988119	0.397691738580819	0.145916689083949	0.45008269919069	0.0892383595436324	0.554186944369926	-0.21078431372549	0.415247112734396	0.185221674876847	0.334575460721437	0	0	0	0	0	0
